version,size_bytes,trial,iterations,elapsed_ns,ns_per_call,checksum
bounded-access,64,1,4096,5590041,1364.756104,9100523050309695021
bounded-access,64,2,4096,5719500,1396.362305,9100523050309695021
bounded-access,64,3,4096,5577542,1361.704590,9100523050309695021
bounded-access,64,4,4096,5715000,1395.263672,9100523050309695021
bounded-access,64,5,4096,5577292,1361.643555,9100523050309695021
bounded-access,64,6,4096,5562583,1358.052490,9100523050309695021
bounded-access,64,7,4096,5671958,1384.755371,9100523050309695021
bounded-access,64,8,4096,5582166,1362.833496,9100523050309695021
bounded-access,64,9,4096,5403584,1319.234375,9100523050309695021
bounded-access,256,1,4096,21009667,5129.313232,10249963142476493520
bounded-access,256,2,4096,21300084,5200.215820,10249963142476493520
bounded-access,256,3,4096,21444292,5235.422852,10249963142476493520
bounded-access,256,4,4096,22103459,5396.352295,10249963142476493520
bounded-access,256,5,4096,21115042,5155.039551,10249963142476493520
bounded-access,256,6,4096,21039833,5136.677979,10249963142476493520
bounded-access,256,7,4096,21090042,5148.936035,10249963142476493520
bounded-access,256,8,4096,20971458,5119.984863,10249963142476493520
bounded-access,256,9,4096,21034334,5135.335449,10249963142476493520
bounded-access,1024,1,2048,41103917,20070.271973,5129890493499792232
bounded-access,1024,2,2048,41577458,20301.493164,5129890493499792232
bounded-access,1024,3,2048,41327459,20179.423340,5129890493499792232
bounded-access,1024,4,2048,40967459,20003.642090,5129890493499792232
bounded-access,1024,5,2048,42158709,20585.307129,5129890493499792232
bounded-access,1024,6,2048,42036667,20525.716309,5129890493499792232
bounded-access,1024,7,2048,41902125,20460.021973,5129890493499792232
bounded-access,1024,8,2048,42076000,20544.921875,5129890493499792232
bounded-access,1024,9,2048,42009541,20512.471191,5129890493499792232
bounded-access,4096,1,512,57775416,112842.609375,1444060713947858674
bounded-access,4096,2,512,43129000,84236.328125,1444060713947858674
bounded-access,4096,3,512,43361709,84690.837891,1444060713947858674
bounded-access,4096,4,512,42553625,83112.548828,1444060713947858674
bounded-access,4096,5,512,42632209,83266.033203,1444060713947858674
bounded-access,4096,6,512,41367500,80795.898438,1444060713947858674
bounded-access,4096,7,512,41029250,80135.253906,1444060713947858674
bounded-access,4096,8,512,41166416,80403.156250,1444060713947858674
bounded-access,4096,9,512,41686333,81418.619141,1444060713947858674
bounded-access,16384,1,128,41237875,322170.898438,10144996428743409715
bounded-access,16384,2,128,41334375,322924.804688,10144996428743409715
bounded-access,16384,3,128,41270291,322424.148438,10144996428743409715
bounded-access,16384,4,128,41594125,324954.101562,10144996428743409715
bounded-access,16384,5,128,41402250,323455.078125,10144996428743409715
bounded-access,16384,6,128,41379500,323277.343750,10144996428743409715
bounded-access,16384,7,128,41258084,322328.781250,10144996428743409715
bounded-access,16384,8,128,41404542,323472.984375,10144996428743409715
bounded-access,16384,9,128,41704667,325817.710938,10144996428743409715
bounded-access,65536,1,32,41688334,1302760.437500,13729571848506157024
bounded-access,65536,2,32,41703625,1303238.281250,13729571848506157024
bounded-access,65536,3,32,41603958,1300123.687500,13729571848506157024
bounded-access,65536,4,32,41226166,1288317.687500,13729571848506157024
bounded-access,65536,5,32,41349917,1292184.906250,13729571848506157024
bounded-access,65536,6,32,41192375,1287261.718750,13729571848506157024
bounded-access,65536,7,32,41070042,1283438.812500,13729571848506157024
bounded-access,65536,8,32,40866791,1277087.218750,13729571848506157024
bounded-access,65536,9,32,40410042,1262813.812500,13729571848506157024
