version,size_bytes,trial,iterations,elapsed_ns,ns_per_call,checksum
current,64,1,4096,8697083,2123.311279,9100523050309695021
current,64,2,4096,7996500,1952.270508,9100523050309695021
current,64,3,4096,7002750,1709.655762,9100523050309695021
current,64,4,4096,6503875,1587.860107,9100523050309695021
current,64,5,4096,6067875,1481.414795,9100523050309695021
current,64,6,4096,5927542,1447.153809,9100523050309695021
current,64,7,4096,5671042,1384.531738,9100523050309695021
current,64,8,4096,5837541,1425.180908,9100523050309695021
current,64,9,4096,5733875,1399.871826,9100523050309695021
current,256,1,4096,22435083,5477.315186,10249963142476493520
current,256,2,4096,22339083,5453.877686,10249963142476493520
current,256,3,4096,22198292,5419.504883,10249963142476493520
current,256,4,4096,22542792,5503.611328,10249963142476493520
current,256,5,4096,22243083,5430.440186,10249963142476493520
current,256,6,4096,22285416,5440.775391,10249963142476493520
current,256,7,4096,22394292,5467.356445,10249963142476493520
current,256,8,4096,21961708,5361.745117,10249963142476493520
current,256,9,4096,22502292,5493.723633,10249963142476493520
current,1024,1,2048,43604250,21291.137695,5129890493499792232
current,1024,2,2048,44254834,21608.805664,5129890493499792232
current,1024,3,2048,44379708,21669.779297,5129890493499792232
current,1024,4,2048,43984334,21476.725586,5129890493499792232
current,1024,5,2048,43792792,21383.199219,5129890493499792232
current,1024,6,2048,43997667,21483.235840,5129890493499792232
current,1024,7,2048,43882667,21427.083496,5129890493499792232
current,1024,8,2048,43872333,21422.037598,5129890493499792232
current,1024,9,2048,44651667,21802.571777,5129890493499792232
current,4096,1,512,44191834,86312.175781,1444060713947858674
current,4096,2,512,45354500,88583.007812,1444060713947858674
current,4096,3,512,43752750,85454.589844,1444060713947858674
current,4096,4,512,42807458,83608.316406,1444060713947858674
current,4096,5,512,43046125,84074.462891,1444060713947858674
current,4096,6,512,43314417,84598.470703,1444060713947858674
current,4096,7,512,43192709,84360.759766,1444060713947858674
current,4096,8,512,43237458,84448.160156,1444060713947858674
current,4096,9,512,43160583,84298.013672,1444060713947858674
current,16384,1,128,43709458,341480.140625,10144996428743409715
current,16384,2,128,43612250,340720.703125,10144996428743409715
current,16384,3,128,43675000,341210.937500,10144996428743409715
current,16384,4,128,43885500,342855.468750,10144996428743409715
current,16384,5,128,43653875,341045.898438,10144996428743409715
current,16384,6,128,43511250,339931.640625,10144996428743409715
current,16384,7,128,43583459,340495.773438,10144996428743409715
current,16384,8,128,43598833,340615.882812,10144996428743409715
current,16384,9,128,44911542,350871.421875,10144996428743409715
current,65536,1,32,44879584,1402487.000000,13729571848506157024
current,65536,2,32,44025541,1375798.156250,13729571848506157024
current,65536,3,32,45167625,1411488.281250,13729571848506157024
current,65536,4,32,45166375,1411449.218750,13729571848506157024
current,65536,5,32,45106917,1409591.156250,13729571848506157024
current,65536,6,32,44864667,1402020.843750,13729571848506157024
current,65536,7,32,44727291,1397727.843750,13729571848506157024
current,65536,8,32,44289917,1384059.906250,13729571848506157024
current,65536,9,32,44417916,1388059.875000,13729571848506157024
