version,size_bytes,trial,iterations,elapsed_ns,ns_per_call,checksum
original,64,1,512,32075792,62648.031250,9100523050309695021
original,64,2,512,31986792,62474.203125,9100523050309695021
original,64,3,512,31216875,60970.458984,9100523050309695021
original,64,4,512,31957041,62416.095703,9100523050309695021
original,64,5,512,31808875,62126.708984,9100523050309695021
original,64,6,512,29938792,58474.203125,9100523050309695021
original,64,7,512,29902541,58403.400391,9100523050309695021
original,64,8,512,30282750,59145.996094,9100523050309695021
original,64,9,512,30457833,59487.955078,9100523050309695021
original,256,1,128,30931625,241653.320312,10249963142476493520
original,256,2,128,31150875,243366.210938,10249963142476493520
original,256,3,128,31321250,244697.265625,10249963142476493520
original,256,4,128,30207917,235999.351562,10249963142476493520
original,256,5,128,30362125,237204.101562,10249963142476493520
original,256,6,128,31387792,245217.125000,10249963142476493520
original,256,7,128,30201084,235945.968750,10249963142476493520
original,256,8,128,29928584,233817.062500,10249963142476493520
original,256,9,128,30465250,238009.765625,10249963142476493520
original,1024,1,32,31601375,987542.968750,5129890493499792232
original,1024,2,32,31729750,991554.687500,5129890493499792232
original,1024,3,32,31943625,998238.281250,5129890493499792232
original,1024,4,32,31315917,978622.406250,5129890493499792232
original,1024,5,32,30926333,966447.906250,5129890493499792232
original,1024,6,32,30742167,960692.718750,5129890493499792232
original,1024,7,32,30646250,957695.312500,5129890493499792232
original,1024,8,32,30831167,963473.968750,5129890493499792232
original,1024,9,32,31087541,971485.656250,5129890493499792232
original,4096,1,8,30990208,3873776.000000,1444060713947858674
original,4096,2,8,30656916,3832114.500000,1444060713947858674
original,4096,3,8,30628541,3828567.625000,1444060713947858674
original,4096,4,8,30319250,3789906.250000,1444060713947858674
original,4096,5,8,30478625,3809828.125000,1444060713947858674
original,4096,6,8,30597584,3824698.000000,1444060713947858674
original,4096,7,8,30764666,3845583.250000,1444060713947858674
original,4096,8,8,30490084,3811260.500000,1444060713947858674
original,4096,9,8,30775583,3846947.875000,1444060713947858674
original,16384,1,2,30618792,15309396.000000,10144996428743409715
original,16384,2,2,30748291,15374145.500000,10144996428743409715
original,16384,3,2,30646875,15323437.500000,10144996428743409715
original,16384,4,2,30696000,15348000.000000,10144996428743409715
original,16384,5,2,30605291,15302645.500000,10144996428743409715
original,16384,6,2,30494916,15247458.000000,10144996428743409715
original,16384,7,2,30501750,15250875.000000,10144996428743409715
original,16384,8,2,30511375,15255687.500000,10144996428743409715
original,16384,9,2,30559333,15279666.500000,10144996428743409715
original,65536,1,1,62994541,62994541.000000,13729571848506157024
original,65536,2,1,60685375,60685375.000000,13729571848506157024
original,65536,3,1,62434125,62434125.000000,13729571848506157024
original,65536,4,1,61233208,61233208.000000,13729571848506157024
original,65536,5,1,61560750,61560750.000000,13729571848506157024
original,65536,6,1,61690500,61690500.000000,13729571848506157024
original,65536,7,1,61843708,61843708.000000,13729571848506157024
original,65536,8,1,62147750,62147750.000000,13729571848506157024
original,65536,9,1,61608916,61608916.000000,13729571848506157024
