version,size_bytes,trial,iterations,elapsed_ns,ns_per_call,checksum
raw-rounds,64,1,4096,6009875,1467.254639,9100523050309695021
raw-rounds,64,2,4096,6075750,1483.337402,9100523050309695021
raw-rounds,64,3,4096,5641750,1377.380371,9100523050309695021
raw-rounds,64,4,4096,5715584,1395.406250,9100523050309695021
raw-rounds,64,5,4096,5572417,1360.453369,9100523050309695021
raw-rounds,64,6,4096,5694333,1390.218018,9100523050309695021
raw-rounds,64,7,4096,5640083,1376.973389,9100523050309695021
raw-rounds,64,8,4096,5494667,1341.471436,9100523050309695021
raw-rounds,64,9,4096,5325792,1300.242188,9100523050309695021
raw-rounds,256,1,4096,21940875,5356.658936,10249963142476493520
raw-rounds,256,2,4096,22169083,5412.373779,10249963142476493520
raw-rounds,256,3,4096,21974792,5364.939453,10249963142476493520
raw-rounds,256,4,4096,21072125,5144.561768,10249963142476493520
raw-rounds,256,5,4096,21242416,5186.136719,10249963142476493520
raw-rounds,256,6,4096,21340584,5210.103516,10249963142476493520
raw-rounds,256,7,4096,21617625,5277.740479,10249963142476493520
raw-rounds,256,8,4096,21162792,5166.697266,10249963142476493520
raw-rounds,256,9,4096,21014958,5130.604980,10249963142476493520
raw-rounds,1024,1,2048,42184709,20598.002441,5129890493499792232
raw-rounds,1024,2,2048,42164833,20588.297363,5129890493499792232
raw-rounds,1024,3,2048,44517958,21737.284180,5129890493499792232
raw-rounds,1024,4,2048,42820334,20908.366211,5129890493499792232
raw-rounds,1024,5,2048,42454167,20729.573730,5129890493499792232
raw-rounds,1024,6,2048,42572292,20787.251953,5129890493499792232
raw-rounds,1024,7,2048,42065583,20539.835449,5129890493499792232
raw-rounds,1024,8,2048,43107208,21048.441406,5129890493499792232
raw-rounds,1024,9,2048,43433667,21207.845215,5129890493499792232
raw-rounds,4096,1,512,43075000,84130.859375,1444060713947858674
raw-rounds,4096,2,512,42818083,83629.068359,1444060713947858674
raw-rounds,4096,3,512,44459542,86835.042969,1444060713947858674
raw-rounds,4096,4,512,57117833,111558.267578,1444060713947858674
raw-rounds,4096,5,512,42180500,82383.789062,1444060713947858674
raw-rounds,4096,6,512,43377208,84721.109375,1444060713947858674
raw-rounds,4096,7,512,42122875,82271.240234,1444060713947858674
raw-rounds,4096,8,512,43367791,84702.716797,1444060713947858674
raw-rounds,4096,9,512,42157125,82338.134766,1444060713947858674
raw-rounds,16384,1,128,42768333,334127.601562,10144996428743409715
raw-rounds,16384,2,128,43164334,337221.359375,10144996428743409715
raw-rounds,16384,3,128,43132541,336972.976562,10144996428743409715
raw-rounds,16384,4,128,43425334,339260.421875,10144996428743409715
raw-rounds,16384,5,128,42930792,335396.812500,10144996428743409715
raw-rounds,16384,6,128,43226792,337709.312500,10144996428743409715
raw-rounds,16384,7,128,43201792,337514.000000,10144996428743409715
raw-rounds,16384,8,128,43525834,340045.578125,10144996428743409715
raw-rounds,16384,9,128,43540416,340159.500000,10144996428743409715
raw-rounds,65536,1,32,43256167,1351755.218750,13729571848506157024
raw-rounds,65536,2,32,42927000,1341468.750000,13729571848506157024
raw-rounds,65536,3,32,43283833,1352619.781250,13729571848506157024
raw-rounds,65536,4,32,43918958,1372467.437500,13729571848506157024
raw-rounds,65536,5,32,44270458,1383451.812500,13729571848506157024
raw-rounds,65536,6,32,44065833,1377057.281250,13729571848506157024
raw-rounds,65536,7,32,43423084,1356971.375000,13729571848506157024
raw-rounds,65536,8,32,43572042,1361626.312500,13729571848506157024
raw-rounds,65536,9,32,43043875,1345121.093750,13729571848506157024
