version,size_bytes,trial,iterations,elapsed_ns,ns_per_call,checksum
raw-rounds,64,1,4096,5843208,1426.564453,9100523050309695021
raw-rounds,64,2,4096,5756250,1405.334473,9100523050309695021
raw-rounds,64,3,4096,5767625,1408.111572,9100523050309695021
raw-rounds,64,4,4096,5733250,1399.719238,9100523050309695021
raw-rounds,64,5,4096,5630292,1374.583008,9100523050309695021
raw-rounds,64,6,4096,5764167,1407.267334,9100523050309695021
raw-rounds,64,7,4096,5670084,1384.297852,9100523050309695021
raw-rounds,64,8,4096,5287625,1290.924072,9100523050309695021
raw-rounds,64,9,4096,5497792,1342.234375,9100523050309695021
raw-rounds,256,1,4096,21852792,5335.154297,10249963142476493520
raw-rounds,256,2,4096,22402292,5469.309570,10249963142476493520
raw-rounds,256,3,4096,22263917,5435.526611,10249963142476493520
raw-rounds,256,4,4096,22127500,5402.221680,10249963142476493520
raw-rounds,256,5,4096,22122208,5400.929688,10249963142476493520
raw-rounds,256,6,4096,22286791,5441.111084,10249963142476493520
raw-rounds,256,7,4096,22288333,5441.487549,10249963142476493520
raw-rounds,256,8,4096,22321542,5449.595215,10249963142476493520
raw-rounds,256,9,4096,22100875,5395.721436,10249963142476493520
raw-rounds,1024,1,2048,42992875,20992.614746,5129890493499792232
raw-rounds,1024,2,2048,43131208,21060.160156,5129890493499792232
raw-rounds,1024,3,2048,43473084,21227.091797,5129890493499792232
raw-rounds,1024,4,2048,42256209,20632.914551,5129890493499792232
raw-rounds,1024,5,2048,41589666,20307.454102,5129890493499792232
raw-rounds,1024,6,2048,41996625,20506.164551,5129890493499792232
raw-rounds,1024,7,2048,42725750,20862.182617,5129890493499792232
raw-rounds,1024,8,2048,43269459,21127.665527,5129890493499792232
raw-rounds,1024,9,2048,42889875,20942.321777,5129890493499792232
raw-rounds,4096,1,512,45396709,88665.447266,1444060713947858674
raw-rounds,4096,2,512,44474000,86863.281250,1444060713947858674
raw-rounds,4096,3,512,42778375,83551.513672,1444060713947858674
raw-rounds,4096,4,512,43134625,84247.314453,1444060713947858674
raw-rounds,4096,5,512,43323000,84615.234375,1444060713947858674
raw-rounds,4096,6,512,42787042,83568.441406,1444060713947858674
raw-rounds,4096,7,512,42721125,83439.697266,1444060713947858674
raw-rounds,4096,8,512,43004333,83992.837891,1444060713947858674
raw-rounds,4096,9,512,43818917,85583.822266,1444060713947858674
raw-rounds,16384,1,128,42839417,334682.945312,10144996428743409715
raw-rounds,16384,2,128,43168125,337250.976562,10144996428743409715
raw-rounds,16384,3,128,43647625,340997.070312,10144996428743409715
raw-rounds,16384,4,128,44015084,343867.843750,10144996428743409715
raw-rounds,16384,5,128,43751625,341809.570312,10144996428743409715
raw-rounds,16384,6,128,43517541,339980.789062,10144996428743409715
raw-rounds,16384,7,128,43479292,339681.968750,10144996428743409715
raw-rounds,16384,8,128,43366625,338801.757812,10144996428743409715
raw-rounds,16384,9,128,43346625,338645.507812,10144996428743409715
raw-rounds,65536,1,32,43007625,1343988.281250,13729571848506157024
raw-rounds,65536,2,32,43319959,1353748.718750,13729571848506157024
raw-rounds,65536,3,32,42754542,1336079.437500,13729571848506157024
raw-rounds,65536,4,32,42905833,1340807.281250,13729571848506157024
raw-rounds,65536,5,32,42849292,1339040.375000,13729571848506157024
raw-rounds,65536,6,32,42880166,1340005.187500,13729571848506157024
raw-rounds,65536,7,32,42701958,1334436.187500,13729571848506157024
raw-rounds,65536,8,32,42579416,1330606.750000,13729571848506157024
raw-rounds,65536,9,32,43834250,1369820.312500,13729571848506157024
