version,size_bytes,trial,iterations,elapsed_ns,ns_per_call,mb_per_second,checksum
word_auth,0,1,8192,53961042,6587.041260,0.000000,6486674799556251648
machine_auth,0,1,16384,25734000,1570.678711,0.000000,5361788469310824448
machine_auth,0,2,16384,25164625,1535.926819,0.000000,5361788469310824448
word_auth,0,2,8192,53469084,6526.987793,0.000000,6486674799556251648
word_auth,0,3,8192,53479000,6528.198242,0.000000,6486674799556251648
machine_auth,0,3,16384,25392750,1549.850464,0.000000,5361788469310824448
machine_auth,0,4,16384,25228875,1539.848328,0.000000,5361788469310824448
word_auth,0,4,8192,53491083,6529.673218,0.000000,6486674799556251648
word_auth,0,5,8192,53135792,6486.302734,0.000000,6486674799556251648
machine_auth,0,5,16384,26365125,1609.199524,0.000000,5361788469310824448
machine_auth,0,6,16384,26134791,1595.141052,0.000000,5361788469310824448
word_auth,0,6,8192,54337792,6633.031250,0.000000,6486674799556251648
word_auth,0,7,8192,54452250,6647.003174,0.000000,6486674799556251648
machine_auth,0,7,16384,26283584,1604.222656,0.000000,5361788469310824448
machine_auth,0,8,16384,26422083,1612.675964,0.000000,5361788469310824448
word_auth,0,8,8192,53942333,6584.757446,0.000000,6486674799556251648
word_auth,0,9,8192,53195083,6493.540405,0.000000,6486674799556251648
machine_auth,0,9,16384,25542833,1559.010803,0.000000,5361788469310824448
word_auth,15,1,8192,54815625,6691.360474,2.241697,15752401518860783616
machine_auth,15,1,16384,25803959,1574.948669,9.524120,6385094556576817152
machine_auth,15,2,16384,25724583,1570.103943,9.553508,6385094556576817152
word_auth,15,2,8192,54030125,6595.474243,2.274287,15752401518860783616
word_auth,15,3,8192,53854000,6573.974609,2.281725,15752401518860783616
machine_auth,15,3,16384,25837125,1576.972961,9.511894,6385094556576817152
machine_auth,15,4,16384,25731291,1570.513367,9.551017,6385094556576817152
word_auth,15,4,8192,54133958,6608.149170,2.269925,15752401518860783616
word_auth,15,5,8192,54102250,6604.278564,2.271255,15752401518860783616
machine_auth,15,5,16384,25880250,1579.605103,9.496044,6385094556576817152
machine_auth,15,6,16384,25849042,1577.700317,9.507509,6385094556576817152
word_auth,15,6,8192,54114708,6605.799316,2.270732,15752401518860783616
word_auth,15,7,8192,54265250,6624.176025,2.264433,15752401518860783616
machine_auth,15,7,16384,26127084,1594.670654,9.406331,6385094556576817152
machine_auth,15,8,16384,26070584,1591.222168,9.426716,6385094556576817152
word_auth,15,8,8192,54226416,6619.435547,2.266054,15752401518860783616
word_auth,15,9,8192,54410417,6641.896606,2.258391,15752401518860783616
machine_auth,15,9,16384,26186833,1598.317444,9.384869,6385094556576817152
word_auth,16,1,8192,54531917,6656.728149,2.403583,2331105561813274624
machine_auth,16,1,16384,26260167,1602.793396,9.982572,493587746433179648
machine_auth,16,2,16384,26022708,1588.300049,10.073663,493587746433179648
word_auth,16,2,8192,54328500,6631.896973,2.412583,2331105561813274624
word_auth,16,3,8192,54482500,6650.695801,2.405763,2331105561813274624
machine_auth,16,3,16384,26088291,1592.302917,10.048339,493587746433179648
machine_auth,16,4,16384,26100333,1593.037903,10.043703,493587746433179648
word_auth,16,4,8192,54401541,6640.813110,2.409344,2331105561813274624
word_auth,16,5,8192,54248917,6622.182251,2.416122,2331105561813274624
machine_auth,16,5,16384,26010875,1587.577820,10.078246,493587746433179648
machine_auth,16,6,16384,28199333,1721.150696,9.296106,493587746433179648
word_auth,16,6,8192,54293541,6627.629517,2.414136,2331105561813274624
word_auth,16,7,8192,56400583,6884.836792,2.323948,2331105561813274624
machine_auth,16,7,16384,26989417,1647.303284,9.712844,493587746433179648
machine_auth,16,8,16384,26638083,1625.859558,9.840948,493587746433179648
word_auth,16,8,8192,55240958,6743.281006,2.372732,2331105561813274624
