version,size_bytes,trial,iterations,elapsed_ns,ns_per_call,mb_per_second,checksum
word_auth,0,1,8192,53072000,6478.515625,0.000000,6486674799556251648
machine_auth,0,1,16384,25120708,1533.246338,0.000000,5361788469310824448
machine_auth,0,2,16384,25146042,1534.792603,0.000000,5361788469310824448
word_auth,0,2,8192,53506791,6531.590698,0.000000,6486674799556251648
word_auth,0,3,8192,52645625,6426.467896,0.000000,6486674799556251648
machine_auth,0,3,16384,25505583,1556.737244,0.000000,5361788469310824448
machine_auth,0,4,16384,25442792,1552.904785,0.000000,5361788469310824448
word_auth,0,4,8192,54050250,6597.930908,0.000000,6486674799556251648
word_auth,0,5,8192,54152834,6610.453369,0.000000,6486674799556251648
machine_auth,0,5,16384,25473334,1554.768921,0.000000,5361788469310824448
machine_auth,0,6,16384,25590042,1561.892212,0.000000,5361788469310824448
word_auth,0,6,8192,53408542,6519.597412,0.000000,6486674799556251648
word_auth,0,7,8192,53393958,6517.817139,0.000000,6486674799556251648
machine_auth,0,7,16384,25546750,1559.249878,0.000000,5361788469310824448
machine_auth,0,8,16384,25469500,1554.534912,0.000000,5361788469310824448
word_auth,0,8,8192,54430542,6644.353271,0.000000,6486674799556251648
word_auth,0,9,8192,55805334,6812.174561,0.000000,6486674799556251648
machine_auth,0,9,16384,26804333,1636.006653,0.000000,5361788469310824448
word_auth,15,1,8192,57619458,7033.625244,2.132613,15752401518860783616
machine_auth,15,1,16384,26890542,1641.268433,9.139273,6385094556576817152
machine_auth,15,2,16384,26669041,1627.749084,9.215180,6385094556576817152
word_auth,15,2,8192,56735708,6925.745605,2.165832,15752401518860783616
word_auth,15,3,8192,56445084,6890.269043,2.176983,15752401518860783616
machine_auth,15,3,16384,26527917,1619.135559,9.264203,6385094556576817152
machine_auth,15,4,16384,26663750,1627.426147,9.217008,6385094556576817152
word_auth,15,4,8192,55486167,6773.213745,2.214606,15752401518860783616
word_auth,15,5,8192,55431833,6766.581177,2.216777,15752401518860783616
machine_auth,15,5,16384,27001083,1648.015320,9.101857,6385094556576817152
machine_auth,15,6,16384,26633667,1625.590027,9.227419,6385094556576817152
word_auth,15,6,8192,54961250,6709.136963,2.235757,15752401518860783616
word_auth,15,7,8192,55409042,6763.799072,2.217689,15752401518860783616
machine_auth,15,7,16384,27161250,1657.791138,9.048184,6385094556576817152
machine_auth,15,8,16384,30255292,1846.636475,8.122876,6385094556576817152
word_auth,15,8,8192,57106958,6971.064209,2.151752,15752401518860783616
word_auth,15,9,8192,56974708,6954.920410,2.156746,15752401518860783616
machine_auth,15,9,16384,27242333,1662.740051,9.021254,6385094556576817152
word_auth,16,1,8192,55021792,6716.527344,2.382183,2331105561813274624
machine_auth,16,1,16384,26225042,1600.649536,9.995942,493587746433179648
machine_auth,16,2,16384,26362709,1609.052063,9.943743,493587746433179648
word_auth,16,2,8192,56414333,6886.515259,2.323381,2331105561813274624
word_auth,16,3,8192,58294792,7116.063477,2.248434,2331105561813274624
machine_auth,16,3,16384,27323875,1667.716980,9.593954,493587746433179648
machine_auth,16,4,16384,28886875,1763.114929,9.074848,493587746433179648
word_auth,16,4,8192,57738167,7048.116089,2.270110,2331105561813274624
word_auth,16,5,8192,66028458,8060.114502,1.985083,2331105561813274624
machine_auth,16,5,16384,28665291,1749.590515,9.144997,493587746433179648
machine_auth,16,6,16384,30531125,1863.471985,8.586123,493587746433179648
word_auth,16,6,8192,56657458,6916.193604,2.313411,2331105561813274624
word_auth,16,7,8192,56006666,6836.751221,2.340293,2331105561813274624
machine_auth,16,7,16384,26670667,1627.848328,9.828926,493587746433179648
machine_auth,16,8,16384,26655750,1626.937866,9.834426,493587746433179648
word_auth,16,8,8192,56109791,6849.339722,2.335992,2331105561813274624
word_auth,16,9,8192,56257708,6867.395996,2.329850,2331105561813274624
machine_auth,16,9,16384,27046625,1650.794983,9.692300,493587746433179648
word_auth,17,1,8192,56670583,6917.795776,2.457430,941229424988770304
machine_auth,17,1,16384,27461917,1676.142395,10.142336,4345649206656212992
machine_auth,17,2,16384,27255208,1663.525879,10.219258,4345649206656212992
word_auth,17,2,8192,57241417,6987.477661,2.432924,941229424988770304
word_auth,17,3,8192,57018375,6960.250854,2.442441,941229424988770304
machine_auth,17,3,16384,27414791,1673.266052,10.159771,4345649206656212992
machine_auth,17,4,16384,27756917,1694.147766,10.034544,4345649206656212992
word_auth,17,4,8192,57367167,7002.828003,2.427591,941229424988770304
word_auth,17,5,8192,56733083,6925.425171,2.454723,941229424988770304
machine_auth,17,5,16384,27071500,1652.313232,10.288606,4345649206656212992
machine_auth,17,6,16384,29307833,1788.808167,9.503534,4345649206656212992
word_auth,17,6,8192,56997625,6957.717896,2.443330,941229424988770304
word_auth,17,7,8192,57818500,7057.922363,2.408641,941229424988770304
machine_auth,17,7,16384,27785917,1695.917786,10.024071,4345649206656212992
machine_auth,17,8,16384,28231459,1723.111511,9.865873,4345649206656212992
word_auth,17,8,8192,56727250,6924.713135,2.454975,941229424988770304
word_auth,17,9,8192,56683709,6919.398071,2.456861,941229424988770304
machine_auth,17,9,16384,27166875,1658.134460,10.252486,4345649206656212992
word_auth,64,1,8192,60757458,7416.681885,8.629196,16454273332164923392
machine_auth,64,1,16384,29077125,1774.726868,36.061887,13778717724978913280
machine_auth,64,2,16384,29153000,1779.357910,35.968031,13778717724978913280
word_auth,64,2,8192,60703709,7410.120728,8.636836,16454273332164923392
word_auth,64,3,8192,60705833,7410.380005,8.636534,16454273332164923392
