version,size_bytes,trial,iterations,elapsed_ns,ns_per_call,mb_per_second,checksum
original_full_nat,0,1,8192,58348375,7122.604370,0.000000,182742447725531136
uint64_limbs,0,1,8192,58914292,7191.686035,0.000000,182742447725531136
word_blocks,0,1,16384,72122833,4402.028381,0.000000,7354680295806836736
machine_list,0,1,16384,4949375,302.085876,0.000000,7354680295806836736
machine_array,0,1,16384,3212166,196.055054,0.000000,7354680295806836736
machine_array,0,2,16384,3206042,195.681274,0.000000,7354680295806836736
machine_list,0,2,16384,4915875,300.041199,0.000000,7354680295806836736
word_blocks,0,2,16384,72090167,4400.034607,0.000000,7354680295806836736
uint64_limbs,0,2,8192,59810083,7301.035522,0.000000,182742447725531136
original_full_nat,0,2,8192,56513291,6898.595093,0.000000,182742447725531136
original_full_nat,0,3,8192,56982625,6955.886841,0.000000,182742447725531136
uint64_limbs,0,3,8192,59536875,7267.684937,0.000000,182742447725531136
word_blocks,0,3,16384,73041750,4458.114624,0.000000,7354680295806836736
machine_list,0,3,16384,5042292,307.757080,0.000000,7354680295806836736
machine_array,0,3,16384,3152209,192.395569,0.000000,7354680295806836736
machine_array,0,4,16384,3165417,193.201721,0.000000,7354680295806836736
machine_list,0,4,16384,5033958,307.248413,0.000000,7354680295806836736
word_blocks,0,4,16384,73712791,4499.071716,0.000000,7354680295806836736
uint64_limbs,0,4,8192,58587333,7151.774048,0.000000,182742447725531136
original_full_nat,0,4,8192,55345333,6756.022095,0.000000,182742447725531136
original_full_nat,0,5,8192,55452500,6769.104004,0.000000,182742447725531136
uint64_limbs,0,5,8192,58689083,7164.194702,0.000000,182742447725531136
word_blocks,0,5,16384,72032125,4396.492004,0.000000,7354680295806836736
machine_list,0,5,16384,4857667,296.488464,0.000000,7354680295806836736
machine_array,0,5,16384,3167416,193.323730,0.000000,7354680295806836736
machine_array,0,6,16384,3188834,194.630981,0.000000,7354680295806836736
machine_list,0,6,16384,4890208,298.474609,0.000000,7354680295806836736
word_blocks,0,6,16384,72856667,4446.818054,0.000000,7354680295806836736
uint64_limbs,0,6,8192,59866500,7307.922363,0.000000,182742447725531136
original_full_nat,0,6,8192,56474083,6893.808960,0.000000,182742447725531136
original_full_nat,0,7,8192,56447292,6890.538574,0.000000,182742447725531136
uint64_limbs,0,7,8192,59659917,7282.704712,0.000000,182742447725531136
word_blocks,0,7,16384,73839583,4506.810486,0.000000,7354680295806836736
machine_list,0,7,16384,4892750,298.629761,0.000000,7354680295806836736
machine_array,0,7,16384,3232792,197.313965,0.000000,7354680295806836736
machine_array,0,8,16384,3215291,196.245789,0.000000,7354680295806836736
machine_list,0,8,16384,4921250,300.369263,0.000000,7354680295806836736
word_blocks,0,8,16384,73612375,4492.942810,0.000000,7354680295806836736
uint64_limbs,0,8,8192,59522375,7265.914917,0.000000,182742447725531136
original_full_nat,0,8,8192,56362667,6880.208374,0.000000,182742447725531136
original_full_nat,0,9,8192,56178916,6857.777832,0.000000,182742447725531136
uint64_limbs,0,9,8192,59320458,7241.266846,0.000000,182742447725531136
word_blocks,0,9,16384,72528750,4426.803589,0.000000,7354680295806836736
machine_list,0,9,16384,4939959,301.511169,0.000000,7354680295806836736
machine_array,0,9,16384,3243083,197.942078,0.000000,7354680295806836736
original_full_nat,15,1,8192,71202292,8691.686035,1.725787,6996954459363725312
uint64_limbs,15,1,4096,40447875,9874.969482,1.518992,2558753261909370880
word_blocks,15,1,8192,58924333,7192.911743,2.085386,6996954459363725312
machine_list,15,1,16384,39115625,2387.428284,6.282911,1723882254799446016
machine_array,15,1,16384,39323375,2400.108337,6.249718,1723882254799446016
machine_array,15,2,16384,39333750,2400.741577,6.248069,1723882254799446016
machine_list,15,2,16384,39134959,2388.608337,6.279807,1723882254799446016
word_blocks,15,2,8192,59094625,7213.699341,2.079377,6996954459363725312
uint64_limbs,15,2,4096,40880916,9980.692383,1.502902,2558753261909370880
original_full_nat,15,2,8192,71607417,8741.139771,1.716023,6996954459363725312
original_full_nat,15,3,8192,70713667,8632.039429,1.737712,6996954459363725312
uint64_limbs,15,3,4096,40582583,9907.857178,1.513950,2558753261909370880
word_blocks,15,3,8192,58952375,7196.334839,2.084394,6996954459363725312
machine_list,15,3,16384,38866709,2372.235657,6.323149,1723882254799446016
machine_array,15,3,16384,39294875,2398.368835,6.254251,1723882254799446016
machine_array,15,4,16384,39046792,2383.227051,6.293987,1723882254799446016
machine_list,15,4,16384,39026000,2381.958008,6.297340,1723882254799446016
word_blocks,15,4,8192,58840250,7182.647705,2.088366,6996954459363725312
uint64_limbs,15,4,4096,41132791,10042.185303,1.493699,2558753261909370880
original_full_nat,15,4,8192,72336250,8830.108643,1.698733,6996954459363725312
original_full_nat,15,5,8192,72367583,8833.933472,1.697998,6996954459363725312
uint64_limbs,15,5,4096,41159750,10048.767090,1.492720,2558753261909370880
word_blocks,15,5,8192,59740291,7292.515991,2.056903,6996954459363725312
machine_list,15,5,16384,39496583,2410.680115,6.222310,1723882254799446016
machine_array,15,5,16384,39103166,2386.667847,6.284913,1723882254799446016
machine_array,15,6,16384,38965625,2378.273010,6.307098,1723882254799446016
machine_list,15,6,16384,38638583,2358.311951,6.360482,1723882254799446016
word_blocks,15,6,8192,58167583,7100.535034,2.112517,6996954459363725312
uint64_limbs,15,6,4096,40500167,9887.736084,1.517031,2558753261909370880
original_full_nat,15,6,8192,70523792,8608.861328,1.742391,6996954459363725312
original_full_nat,15,7,8192,70495500,8605.407715,1.743090,6996954459363725312
uint64_limbs,15,7,4096,40948375,9997.161865,1.500426,2558753261909370880
word_blocks,15,7,8192,59511667,7264.607788,2.064805,6996954459363725312
machine_list,15,7,16384,39186334,2391.744019,6.271574,1723882254799446016
machine_array,15,7,16384,39361750,2402.450562,6.243625,1723882254799446016
machine_array,15,8,16384,39161167,2390.207947,6.275605,1723882254799446016
machine_list,15,8,16384,39228875,2394.340515,6.264773,1723882254799446016
word_blocks,15,8,8192,59111166,7215.718506,2.078795,6996954459363725312
uint64_limbs,15,8,4096,40862750,9976.257324,1.503570,2558753261909370880
original_full_nat,15,8,8192,70932291,8658.726929,1.732356,6996954459363725312
original_full_nat,15,9,8192,70747500,8636.169434,1.736881,6996954459363725312
uint64_limbs,15,9,4096,40303084,9839.620117,1.524449,2558753261909370880
word_blocks,15,9,8192,58830291,7181.432007,2.088720,6996954459363725312
machine_list,15,9,16384,39186916,2391.779541,6.271481,1723882254799446016
machine_array,15,9,16384,39739250,2425.491333,6.184314,1723882254799446016
original_full_nat,16,1,8192,72235542,8817.815186,1.814508,15618025053062729728
uint64_limbs,16,1,4096,40939917,9995.096924,1.600785,7653960963606595584
word_blocks,16,1,8192,41442583,5058.909058,3.162737,15618025053062729728
machine_list,16,1,16384,5334917,325.617493,49.137409,5648348105463635968
machine_array,16,1,16384,3407875,208.000183,76.923009,5648348105463635968
machine_array,16,2,16384,3374917,205.988586,77.674207,5648348105463635968
machine_list,16,2,16384,5318750,324.630737,49.286769,5648348105463635968
word_blocks,16,2,8192,41260916,5036.732910,3.176662,15618025053062729728
uint64_limbs,16,2,4096,42387417,10348.490479,1.546119,7653960963606595584
original_full_nat,16,2,8192,74577833,9103.739380,1.757520,15618025053062729728
original_full_nat,16,3,8192,73257500,8942.565918,1.789196,15618025053062729728
uint64_limbs,16,3,4096,41358542,10097.300293,1.584582,7653960963606595584
word_blocks,16,3,8192,42038792,5131.688477,3.117882,15618025053062729728
machine_list,16,3,16384,5434291,331.682800,48.238859,5648348105463635968
machine_array,16,3,16384,3489917,213.007629,75.114680,5648348105463635968
machine_array,16,4,16384,3464458,211.453735,75.666670,5648348105463635968
machine_list,16,4,16384,5456667,333.048523,48.041048,5648348105463635968
word_blocks,16,4,8192,41989250,5125.640869,3.121561,15618025053062729728
uint64_limbs,16,4,4096,41451334,10119.954590,1.581035,7653960963606595584
original_full_nat,16,4,8192,73797709,9008.509399,1.776098,15618025053062729728
original_full_nat,16,5,8192,74244167,9063.008667,1.765418,15618025053062729728
uint64_limbs,16,5,4096,42137500,10287.475586,1.555289,7653960963606595584
word_blocks,16,5,8192,42478000,5185.302734,3.085644,15618025053062729728
machine_list,16,5,16384,5621458,343.106567,46.632742,5648348105463635968
machine_array,16,5,16384,3648916,222.712158,71.841610,5648348105463635968
machine_array,16,6,16384,3592958,219.296753,72.960497,5648348105463635968
machine_list,16,6,16384,5617417,342.859924,46.666288,5648348105463635968
word_blocks,16,6,8192,42304542,5164.128662,3.098296,15618025053062729728
uint64_limbs,16,6,4096,41562292,10147.043945,1.576814,7653960963606595584
original_full_nat,16,6,8192,72857333,8893.717407,1.799023,15618025053062729728
original_full_nat,16,7,8192,73441542,8965.031982,1.784712,15618025053062729728
uint64_limbs,16,7,4096,41278417,10077.738525,1.587658,7653960963606595584
word_blocks,16,7,8192,41631167,5081.929565,3.148410,15618025053062729728
machine_list,16,7,16384,5370167,327.768982,48.814869,5648348105463635968
machine_array,16,7,16384,3415459,208.463074,76.752202,5648348105463635968
machine_array,16,8,16384,3426167,209.116638,76.512324,5648348105463635968
machine_list,16,8,16384,5408334,330.098511,48.470379,5648348105463635968
word_blocks,16,8,8192,41517292,5068.028809,3.157046,15618025053062729728
uint64_limbs,16,8,4096,41153125,10047.149658,1.592491,7653960963606595584
original_full_nat,16,8,8192,73073209,8920.069458,1.793708,15618025053062729728
original_full_nat,16,9,8192,73500834,8972.269775,1.783272,15618025053062729728
uint64_limbs,16,9,4096,41855416,10218.607422,1.565771,7653960963606595584
word_blocks,16,9,8192,42105917,5139.882446,3.112912,15618025053062729728
machine_list,16,9,16384,5557584,339.208008,47.168698,5648348105463635968
machine_array,16,9,16384,3597458,219.571411,72.869232,5648348105463635968
original_full_nat,17,1,8192,78655708,9601.526855,1.770552,6245824619593551872
uint64_limbs,17,1,4096,42658167,10414.591553,1.632325,15217244089719302144
word_blocks,17,1,8192,42965625,5244.827271,3.241289,6245824619593551872
machine_list,17,1,16384,6940209,423.596741,40.132509,1685163634126659584
machine_array,17,1,16384,5021042,306.460083,55.472151,1685163634126659584
machine_array,17,2,16384,5085541,310.396790,54.768608,1685163634126659584
machine_list,17,2,16384,6916417,422.144592,40.270562,1685163634126659584
word_blocks,17,2,8192,43547083,5315.806030,3.198010,6245824619593551872
uint64_limbs,17,2,4096,43022917,10503.641846,1.618486,15217244089719302144
original_full_nat,17,2,8192,78916334,9633.341553,1.764704,6245824619593551872
original_full_nat,17,3,8192,79132875,9659.774780,1.759875,6245824619593551872
uint64_limbs,17,3,4096,43063041,10513.437744,1.616978,15217244089719302144
word_blocks,17,3,8192,43159916,5268.544434,3.226698,6245824619593551872
machine_list,17,3,16384,6763166,412.790894,41.183079,1685163634126659584
machine_array,17,3,16384,4967959,303.220154,56.064875,1685163634126659584
machine_array,17,4,16384,5017750,306.259155,55.508545,1685163634126659584
machine_list,17,4,16384,6762333,412.740051,41.188152,1685163634126659584
word_blocks,17,4,8192,42873125,5233.535767,3.248282,6245824619593551872
uint64_limbs,17,4,4096,42526875,10382.537842,1.637365,15217244089719302144
original_full_nat,17,4,8192,78232291,9549.840210,1.780134,6245824619593551872
original_full_nat,17,5,8192,78155959,9540.522339,1.781873,6245824619593551872
uint64_limbs,17,5,4096,42959791,10488.230225,1.620864,15217244089719302144
word_blocks,17,5,8192,43248667,5279.378296,3.220076,6245824619593551872
machine_list,17,5,16384,6818041,416.140198,40.851617,1685163634126659584
machine_array,17,5,16384,4939041,301.455139,56.393134,1685163634126659584
machine_array,17,6,16384,4950959,302.182556,56.257384,1685163634126659584
machine_list,17,6,16384,6796625,414.833069,40.980340,1685163634126659584
word_blocks,17,6,8192,43342417,5290.822388,3.213111,6245824619593551872
uint64_limbs,17,6,4096,42815541,10453.012939,1.626325,15217244089719302144
original_full_nat,17,6,8192,78519667,9584.920288,1.773619,6245824619593551872
original_full_nat,17,7,8192,78407542,9571.233154,1.776156,6245824619593551872
uint64_limbs,17,7,4096,42822208,10454.640625,1.626072,15217244089719302144
word_blocks,17,7,8192,43079125,5258.682251,3.232749,6245824619593551872
machine_list,17,7,16384,6776084,413.579346,41.104567,1685163634126659584
machine_array,17,7,16384,4891708,298.566162,56.938803,1685163634126659584
machine_array,17,8,16384,4925042,300.600708,56.553426,1685163634126659584
machine_list,17,8,16384,6777166,413.645386,41.098005,1685163634126659584
word_blocks,17,8,8192,42965333,5244.791626,3.241311,6245824619593551872
uint64_limbs,17,8,4096,42975583,10492.085693,1.620269,15217244089719302144
original_full_nat,17,8,8192,79061459,9651.057007,1.761465,6245824619593551872
original_full_nat,17,9,8192,78786041,9617.436646,1.767623,6245824619593551872
uint64_limbs,17,9,4096,42965791,10489.695068,1.620638,15217244089719302144
word_blocks,17,9,8192,42940708,5241.785645,3.243170,6245824619593551872
machine_list,17,9,16384,6782750,413.986206,41.064170,1685163634126659584
machine_array,17,9,16384,4863875,296.867371,57.264630,1685163634126659584
original_full_nat,64,1,4096,64159584,15663.960938,4.085812,16824613268559063040
uint64_limbs,64,1,4096,71057833,17348.103760,3.689164,16824613268559063040
word_blocks,64,1,8192,42823334,5227.457764,12.243045,2686843086659833856
machine_list,64,1,16384,6794500,414.703369,154.327176,1006669188974354432
machine_array,64,1,16384,3957667,241.556824,264.948011,1006669188974354432
machine_array,64,2,16384,4297750,262.313843,243.982549,1006669188974354432
machine_list,64,2,16384,6922958,422.543823,151.463580,1006669188974354432
word_blocks,64,2,8192,42235667,5155.721069,12.413395,2686843086659833856
uint64_limbs,64,2,4096,70564791,17227.732178,3.714941,16824613268559063040
original_full_nat,64,2,4096,63483750,15498.962402,4.129309,16824613268559063040
original_full_nat,64,3,4096,63510958,15505.604980,4.127540,16824613268559063040
uint64_limbs,64,3,4096,71945917,17564.921143,3.643626,16824613268559063040
word_blocks,64,3,8192,42599042,5200.078369,12.307507,2686843086659833856
machine_list,64,3,16384,6975875,425.773621,150.314620,1006669188974354432
machine_array,64,3,16384,4142750,252.853394,253.111098,1006669188974354432
machine_array,64,4,16384,4157167,253.733337,252.233312,1006669188974354432
machine_list,64,4,16384,7020542,428.499878,149.358269,1006669188974354432
word_blocks,64,4,8192,42620625,5202.713013,12.301274,2686843086659833856
uint64_limbs,64,4,4096,71917750,17558.044434,3.645053,16824613268559063040
original_full_nat,64,4,4096,65269584,15934.957031,4.016327,16824613268559063040
original_full_nat,64,5,4096,64285417,15694.681885,4.077814,16824613268559063040
uint64_limbs,64,5,4096,71151500,17370.971680,3.684307,16824613268559063040
word_blocks,64,5,8192,42228625,5154.861450,12.415465,2686843086659833856
machine_list,64,5,16384,6946083,423.955261,150.959325,1006669188974354432
machine_array,64,5,16384,4145917,253.046692,252.917750,1006669188974354432
machine_array,64,6,16384,4163375,254.112244,251.857207,1006669188974354432
machine_list,64,6,16384,7069250,431.472778,148.329172,1006669188974354432
word_blocks,64,6,8192,42145291,5144.688843,12.440014,2686843086659833856
uint64_limbs,64,6,4096,71416958,17435.780762,3.670613,16824613268559063040
original_full_nat,64,6,4096,65232834,15925.984863,4.018590,16824613268559063040
original_full_nat,64,7,4096,65108833,15895.711182,4.026243,16824613268559063040
uint64_limbs,64,7,4096,71101083,17358.662842,3.686920,16824613268559063040
word_blocks,64,7,8192,42448166,5181.660889,12.351252,2686843086659833856
machine_list,64,7,16384,6878125,419.807434,152.450850,1006669188974354432
machine_array,64,7,16384,4207959,256.833435,249.188740,1006669188974354432
machine_array,64,8,16384,4191917,255.854309,250.142357,1006669188974354432
machine_list,64,8,16384,6899125,421.089172,151.986810,1006669188974354432
word_blocks,64,8,8192,42482083,5185.801147,12.341391,2686843086659833856
uint64_limbs,64,8,4096,71193625,17381.256104,3.682127,16824613268559063040
original_full_nat,64,8,4096,63351375,15466.644287,4.137937,16824613268559063040
original_full_nat,64,9,4096,63479959,15498.036865,4.129555,16824613268559063040
uint64_limbs,64,9,4096,70417750,17191.833496,3.722698,16824613268559063040
word_blocks,64,9,8192,42325417,5166.676880,12.387072,2686843086659833856
machine_list,64,9,16384,6995166,426.951050,149.900088,1006669188974354432
machine_array,64,9,16384,4160334,253.926636,252.041302,1006669188974354432
original_full_nat,256,1,1024,42268042,41277.384766,6.201943,14158771454154519040
uint64_limbs,256,1,1024,46214542,45131.388672,5.672327,14158771454154519040
word_blocks,256,1,8192,45754958,5585.322021,45.834421,15805974032992538624
machine_list,256,1,16384,12789708,780.621826,327.943687,7464779945385074688
machine_array,256,1,16384,6755875,412.345886,620.838011,7464779945385074688
machine_array,256,2,16384,6696042,408.693970,626.385557,7464779945385074688
machine_list,256,2,16384,12298375,750.633240,341.045382,7464779945385074688
word_blocks,256,2,8192,45093042,5504.521729,46.507219,15805974032992538624
uint64_limbs,256,2,1024,46658208,45564.656250,5.618390,14158771454154519040
original_full_nat,256,2,1024,42929708,41923.542969,6.106354,14158771454154519040
original_full_nat,256,3,1024,42894375,41889.038086,6.111384,14158771454154519040
uint64_limbs,256,3,1024,46865833,45767.415039,5.593499,14158771454154519040
word_blocks,256,3,8192,45401916,5542.226074,46.190826,15805974032992538624
machine_list,256,3,16384,12100083,738.530457,346.634316,7464779945385074688
machine_array,256,3,16384,6641334,405.354858,631.545409,7464779945385074688
machine_array,256,4,16384,6647708,405.743896,630.939867,7464779945385074688
machine_list,256,4,16384,12158625,742.103577,344.965323,7464779945385074688
word_blocks,256,4,8192,45613083,5568.003296,45.976984,15805974032992538624
uint64_limbs,256,4,1024,46886833,45787.922852,5.590994,14158771454154519040
original_full_nat,256,4,1024,42692833,41692.219727,6.140234,14158771454154519040
original_full_nat,256,5,1024,42454750,41459.716797,6.174668,14158771454154519040
uint64_limbs,256,5,1024,46122500,45041.503906,5.683647,14158771454154519040
word_blocks,256,5,8192,45951375,5609.298706,45.638504,15805974032992538624
machine_list,256,5,16384,12013708,733.258545,349.126514,7464779945385074688
machine_array,256,5,16384,6846292,417.864502,612.638783,7464779945385074688
machine_array,256,6,16384,6979500,425.994873,600.946200,7464779945385074688
machine_list,256,6,16384,12369667,754.984558,339.079783,7464779945385074688
word_blocks,256,6,8192,45631833,5570.292114,45.958092,15805974032992538624
uint64_limbs,256,6,1024,46025125,44946.411133,5.695672,14158771454154519040
original_full_nat,256,6,1024,42582958,41584.919922,6.156078,14158771454154519040
original_full_nat,256,7,1024,42086791,41100.381836,6.228653,14158771454154519040
uint64_limbs,256,7,1024,45711000,44639.648438,5.734812,14158771454154519040
word_blocks,256,7,8192,44345625,5413.284302,47.291069,15805974032992538624
machine_list,256,7,16384,11793792,719.835938,355.636593,7464779945385074688
machine_array,256,7,16384,6762667,412.760437,620.214480,7464779945385074688
machine_array,256,8,16384,6799958,415.036499,616.813221,7464779945385074688
machine_list,256,8,16384,11941459,728.848816,351.238823,7464779945385074688
word_blocks,256,8,8192,44184750,5393.646240,47.463254,15805974032992538624
uint64_limbs,256,8,1024,45653917,44583.903320,5.741983,14158771454154519040
