version,size_bytes,trial,iterations,elapsed_ns,ns_per_call,mb_per_second,checksum
original_full_nat,0,1,8192,55637166,6791.646240,0.000000,182742447725531136
uint64_limbs,0,1,8192,58559458,7148.371338,0.000000,182742447725531136
word_blocks,0,1,16384,72092334,4400.166870,0.000000,7354680295806836736
machine_list,0,1,16384,4903792,299.303711,0.000000,7354680295806836736
machine_array,0,1,16384,3184708,194.379150,0.000000,7354680295806836736
machine_array,0,2,16384,3191041,194.765686,0.000000,7354680295806836736
machine_list,0,2,16384,4870750,297.286987,0.000000,7354680295806836736
word_blocks,0,2,16384,73380416,4478.785156,0.000000,7354680295806836736
uint64_limbs,0,2,8192,59641875,7280.502319,0.000000,182742447725531136
original_full_nat,0,2,8192,56275542,6869.572998,0.000000,182742447725531136
original_full_nat,0,3,8192,56254083,6866.953491,0.000000,182742447725531136
uint64_limbs,0,3,8192,59563958,7270.990967,0.000000,182742447725531136
word_blocks,0,3,16384,73178791,4466.478943,0.000000,7354680295806836736
machine_list,0,3,16384,4940833,301.564514,0.000000,7354680295806836736
machine_array,0,3,16384,3283875,200.431824,0.000000,7354680295806836736
machine_array,0,4,16384,3304708,201.703369,0.000000,7354680295806836736
machine_list,0,4,16384,4954542,302.401245,0.000000,7354680295806836736
word_blocks,0,4,16384,73284000,4472.900391,0.000000,7354680295806836736
uint64_limbs,0,4,8192,59296292,7238.316895,0.000000,182742447725531136
original_full_nat,0,4,8192,55998792,6835.790039,0.000000,182742447725531136
original_full_nat,0,5,8192,56069000,6844.360352,0.000000,182742447725531136
uint64_limbs,0,5,8192,59427458,7254.328369,0.000000,182742447725531136
word_blocks,0,5,16384,72996584,4455.357910,0.000000,7354680295806836736
machine_list,0,5,16384,5059625,308.815002,0.000000,7354680295806836736
machine_array,0,5,16384,3310166,202.036499,0.000000,7354680295806836736
machine_array,0,6,16384,3296667,201.212585,0.000000,7354680295806836736
machine_list,0,6,16384,5055875,308.586121,0.000000,7354680295806836736
word_blocks,0,6,16384,72399625,4418.922424,0.000000,7354680295806836736
uint64_limbs,0,6,8192,59068916,7210.561035,0.000000,182742447725531136
original_full_nat,0,6,8192,55805500,6812.194824,0.000000,182742447725531136
original_full_nat,0,7,8192,55766750,6807.464600,0.000000,182742447725531136
uint64_limbs,0,7,8192,58798250,7177.520752,0.000000,182742447725531136
word_blocks,0,7,16384,72725791,4438.830017,0.000000,7354680295806836736
machine_list,0,7,16384,4951667,302.225769,0.000000,7354680295806836736
machine_array,0,7,16384,3193000,194.885254,0.000000,7354680295806836736
machine_array,0,8,16384,3150958,192.319214,0.000000,7354680295806836736
machine_list,0,8,16384,4804791,293.261169,0.000000,7354680295806836736
word_blocks,0,8,16384,73674250,4496.719360,0.000000,7354680295806836736
uint64_limbs,0,8,8192,59783208,7297.754883,0.000000,182742447725531136
original_full_nat,0,8,8192,56253209,6866.846802,0.000000,182742447725531136
original_full_nat,0,9,8192,56189708,6859.095215,0.000000,182742447725531136
uint64_limbs,0,9,8192,59338250,7243.438721,0.000000,182742447725531136
word_blocks,0,9,16384,73034709,4457.684875,0.000000,7354680295806836736
machine_list,0,9,16384,4874125,297.492981,0.000000,7354680295806836736
machine_array,0,9,16384,3199167,195.261658,0.000000,7354680295806836736
original_full_nat,15,1,8192,71380417,8713.429810,1.721481,6996954459363725312
uint64_limbs,15,1,4096,40919375,9990.081787,1.501489,2558753261909370880
word_blocks,15,1,8192,60493750,7384.490967,2.031284,6996954459363725312
machine_list,15,1,16384,39506250,2411.270142,6.220788,1723882254799446016
machine_array,15,1,16384,40026000,2442.993164,6.140009,1723882254799446016
machine_array,15,2,16384,39870042,2433.474243,6.164027,1723882254799446016
machine_list,15,2,16384,39225958,2394.162476,6.265239,1723882254799446016
word_blocks,15,2,8192,59478458,7260.553955,2.065958,6996954459363725312
uint64_limbs,15,2,4096,40880042,9980.479004,1.502934,2558753261909370880
original_full_nat,15,2,8192,71538250,8732.696533,1.717682,6996954459363725312
original_full_nat,15,3,8192,71061042,8674.443604,1.729218,6996954459363725312
uint64_limbs,15,3,4096,40887917,9982.401611,1.502644,2558753261909370880
word_blocks,15,3,8192,59376167,7248.067261,2.069517,6996954459363725312
machine_list,15,3,16384,38908500,2374.786377,6.316358,1723882254799446016
machine_array,15,3,16384,39302208,2398.816406,6.253084,1723882254799446016
machine_array,15,4,16384,39240875,2395.072937,6.262857,1723882254799446016
machine_list,15,4,16384,38996625,2380.165100,6.302084,1723882254799446016
word_blocks,15,4,8192,60179416,7346.120117,2.041894,6996954459363725312
uint64_limbs,15,4,4096,41171000,10051.513672,1.492313,2558753261909370880
original_full_nat,15,4,8192,72197708,8813.196777,1.701993,6996954459363725312
original_full_nat,15,5,8192,72324958,8828.730225,1.698999,6996954459363725312
uint64_limbs,15,5,4096,41197958,10058.095215,1.491336,2558753261909370880
word_blocks,15,5,8192,59818375,7302.047729,2.054218,6996954459363725312
machine_list,15,5,16384,39070958,2384.702026,6.290094,1723882254799446016
machine_array,15,5,16384,38947417,2377.161682,6.310046,1723882254799446016
machine_array,15,6,16384,38601542,2356.051147,6.366585,1723882254799446016
machine_list,15,6,16384,38560334,2353.536011,6.373389,1723882254799446016
word_blocks,15,6,8192,58449167,7134.908081,2.102340,6996954459363725312
uint64_limbs,15,6,4096,40363166,9854.288574,1.522180,2558753261909370880
original_full_nat,15,6,8192,70998167,8666.768433,1.730749,6996954459363725312
original_full_nat,15,7,8192,70799459,8642.512085,1.735606,6996954459363725312
uint64_limbs,15,7,4096,40440833,9873.250244,1.519257,2558753261909370880
word_blocks,15,7,8192,59190708,7225.428223,2.076002,6996954459363725312
machine_list,15,7,16384,38958542,2377.840698,6.308244,1723882254799446016
machine_array,15,7,16384,39319875,2399.894714,6.250274,1723882254799446016
machine_array,15,8,16384,39216083,2393.559753,6.266817,1723882254799446016
machine_list,15,8,16384,38871875,2372.550964,6.322309,1723882254799446016
word_blocks,15,8,8192,58758375,7172.653198,2.091276,6996954459363725312
uint64_limbs,15,8,4096,40604875,9913.299561,1.513119,2558753261909370880
original_full_nat,15,8,8192,71349584,8709.666016,1.722224,6996954459363725312
original_full_nat,15,9,8192,71393208,8714.991211,1.721172,6996954459363725312
uint64_limbs,15,9,4096,40524250,9893.615723,1.516129,2558753261909370880
word_blocks,15,9,8192,58852500,7184.143066,2.087932,6996954459363725312
machine_list,15,9,16384,38894291,2373.919128,6.318665,1723882254799446016
machine_array,15,9,16384,40097083,2447.331726,6.129124,1723882254799446016
original_full_nat,16,1,8192,73808209,9009.791138,1.775846,15618025053062729728
uint64_limbs,16,1,4096,42051750,10266.540527,1.558461,7653960963606595584
word_blocks,16,1,8192,42305584,5164.255859,3.098220,15618025053062729728
machine_list,16,1,16384,5510750,336.349487,47.569569,5648348105463635968
machine_array,16,1,16384,3511041,214.296936,74.662757,5648348105463635968
machine_array,16,2,16384,3507625,214.088440,74.735469,5648348105463635968
machine_list,16,2,16384,5475708,334.210693,47.873992,5648348105463635968
word_blocks,16,2,8192,42214083,5153.086304,3.104935,15618025053062729728
uint64_limbs,16,2,4096,41838334,10214.437012,1.566410,7653960963606595584
original_full_nat,16,2,8192,74212125,9059.097290,1.766180,15618025053062729728
original_full_nat,16,3,8192,75049333,9161.295532,1.746478,15618025053062729728
uint64_limbs,16,3,4096,42432250,10359.436035,1.544486,7653960963606595584
word_blocks,16,3,8192,42787917,5223.134399,3.063295,15618025053062729728
machine_list,16,3,16384,5343208,326.123535,49.061163,5648348105463635968
machine_array,16,3,16384,3351375,204.551697,78.219835,5648348105463635968
machine_array,16,4,16384,3375916,206.049561,77.651221,5648348105463635968
machine_list,16,4,16384,5369375,327.720642,48.822070,5648348105463635968
word_blocks,16,4,8192,42812167,5226.094604,3.061560,15618025053062729728
uint64_limbs,16,4,4096,42012750,10257.019043,1.559907,7653960963606595584
original_full_nat,16,4,8192,74367709,9078.089478,1.762485,15618025053062729728
original_full_nat,16,5,8192,73167042,8931.523682,1.791408,15618025053062729728
uint64_limbs,16,5,4096,41688417,10177.836182,1.572043,7653960963606595584
word_blocks,16,5,8192,42075917,5136.220337,3.115131,15618025053062729728
machine_list,16,5,16384,5640666,344.278931,46.473945,5648348105463635968
machine_array,16,5,16384,3599875,219.718933,72.820306,5648348105463635968
