version,size_bytes,trial,iterations,elapsed_ns,ns_per_call,mb_per_second,checksum
original_full_nat,0,1,8192,55977500,6833.190918,0.000000,182742447725531136
uint64_limbs,0,1,8192,58277416,7113.942383,0.000000,182742447725531136
word_blocks,0,1,16384,72792541,4442.904114,0.000000,7354680295806836736
word_blocks,0,2,16384,73473125,4484.443665,0.000000,7354680295806836736
uint64_limbs,0,2,8192,58979041,7199.589966,0.000000,182742447725531136
original_full_nat,0,2,8192,56050709,6842.127563,0.000000,182742447725531136
original_full_nat,0,3,8192,55958750,6830.902100,0.000000,182742447725531136
uint64_limbs,0,3,8192,58624167,7156.270386,0.000000,182742447725531136
word_blocks,0,3,16384,73189958,4467.160522,0.000000,7354680295806836736
word_blocks,0,4,16384,71500667,4364.054382,0.000000,7354680295806836736
uint64_limbs,0,4,8192,59116833,7216.410278,0.000000,182742447725531136
original_full_nat,0,4,8192,55501417,6775.075317,0.000000,182742447725531136
original_full_nat,0,5,8192,54156208,6610.865234,0.000000,182742447725531136
uint64_limbs,0,5,8192,56941625,6950.881958,0.000000,182742447725531136
word_blocks,0,5,16384,70283708,4289.777100,0.000000,7354680295806836736
word_blocks,0,6,16384,73016750,4456.588745,0.000000,7354680295806836736
uint64_limbs,0,6,8192,59112875,7215.927124,0.000000,182742447725531136
original_full_nat,0,6,8192,55880958,6821.406006,0.000000,182742447725531136
original_full_nat,0,7,8192,55736792,6803.807617,0.000000,182742447725531136
uint64_limbs,0,7,8192,59238375,7231.246948,0.000000,182742447725531136
word_blocks,0,7,16384,72528834,4426.808716,0.000000,7354680295806836736
word_blocks,0,8,16384,72032625,4396.522522,0.000000,7354680295806836736
uint64_limbs,0,8,8192,58139041,7097.050903,0.000000,182742447725531136
original_full_nat,0,8,8192,55218875,6740.585327,0.000000,182742447725531136
original_full_nat,0,9,8192,55272459,6747.126343,0.000000,182742447725531136
uint64_limbs,0,9,8192,57967958,7076.166748,0.000000,182742447725531136
word_blocks,0,9,16384,71519042,4365.175903,0.000000,7354680295806836736
original_full_nat,15,1,8192,71647042,8745.976807,1.715074,6996954459363725312
uint64_limbs,15,1,4096,40941375,9995.452881,1.500682,2558753261909370880
word_blocks,15,1,8192,59157750,7221.405029,2.077158,6996954459363725312
word_blocks,15,2,8192,59135875,7218.734741,2.077926,6996954459363725312
uint64_limbs,15,2,4096,40943416,9995.951172,1.500608,2558753261909370880
original_full_nat,15,2,8192,69819125,8522.842407,1.759976,6996954459363725312
original_full_nat,15,3,8192,69149541,8441.106079,1.777018,6996954459363725312
uint64_limbs,15,3,4096,39427458,9625.844238,1.558305,2558753261909370880
word_blocks,15,3,8192,57177167,6979.634644,2.149110,6996954459363725312
word_blocks,15,4,8192,58247167,7110.249878,2.109630,6996954459363725312
uint64_limbs,15,4,4096,40455334,9876.790527,1.518712,2558753261909370880
original_full_nat,15,4,8192,70814834,8644.388916,1.735230,6996954459363725312
original_full_nat,15,5,8192,70665917,8626.210571,1.738886,6996954459363725312
uint64_limbs,15,5,4096,40423333,9868.977783,1.519914,2558753261909370880
word_blocks,15,5,8192,58677500,7162.780762,2.094159,6996954459363725312
word_blocks,15,6,8192,59226292,7229.771973,2.074754,6996954459363725312
uint64_limbs,15,6,4096,41143000,10044.677734,1.493328,2558753261909370880
original_full_nat,15,6,8192,71475833,8725.077271,1.719182,6996954459363725312
original_full_nat,15,7,8192,71581125,8737.930298,1.716654,6996954459363725312
uint64_limbs,15,7,4096,41001416,10010.111328,1.498485,2558753261909370880
word_blocks,15,7,8192,59955833,7318.827271,2.049509,6996954459363725312
word_blocks,15,8,8192,60067833,7332.499146,2.045687,6996954459363725312
uint64_limbs,15,8,4096,41157750,10048.278809,1.492793,2558753261909370880
original_full_nat,15,8,8192,71301459,8703.791382,1.723387,6996954459363725312
original_full_nat,15,9,8192,71311333,8704.996704,1.723148,6996954459363725312
uint64_limbs,15,9,4096,40662792,9927.439453,1.510964,2558753261909370880
word_blocks,15,9,8192,58797959,7177.485229,2.089868,6996954459363725312
original_full_nat,16,1,8192,73421125,8962.539673,1.785208,15618025053062729728
uint64_limbs,16,1,4096,41938000,10238.769531,1.562688,7653960963606595584
word_blocks,16,1,8192,41889667,5113.484741,3.128982,15618025053062729728
word_blocks,16,2,8192,41455875,5060.531616,3.161723,15618025053062729728
uint64_limbs,16,2,4096,41196959,10057.851318,1.590797,7653960963606595584
original_full_nat,16,2,8192,72687417,8872.975708,1.803228,15618025053062729728
original_full_nat,16,3,8192,72562625,8857.742310,1.806329,15618025053062729728
uint64_limbs,16,3,4096,41361458,10098.012207,1.584470,7653960963606595584
word_blocks,16,3,8192,41475750,5062.957764,3.160208,15618025053062729728
word_blocks,16,4,8192,41405917,5054.433228,3.165538,15618025053062729728
uint64_limbs,16,4,4096,42059083,10268.330811,1.558189,7653960963606595584
original_full_nat,16,4,8192,73599500,8984.313965,1.780882,15618025053062729728
original_full_nat,16,5,8192,73483875,8970.199585,1.783684,15618025053062729728
uint64_limbs,16,5,4096,41957667,10243.571045,1.561955,7653960963606595584
word_blocks,16,5,8192,41894042,5114.018799,3.128655,15618025053062729728
word_blocks,16,6,8192,41839208,5107.325195,3.132755,15618025053062729728
uint64_limbs,16,6,4096,40841583,9971.089600,1.604639,7653960963606595584
original_full_nat,16,6,8192,72824666,8889.729736,1.799830,15618025053062729728
original_full_nat,16,7,8192,74088708,9044.031738,1.769122,15618025053062729728
uint64_limbs,16,7,4096,42064875,10269.744873,1.557974,7653960963606595584
word_blocks,16,7,8192,41957209,5121.729614,3.123945,15618025053062729728
word_blocks,16,8,8192,42024292,5129.918457,3.118958,15618025053062729728
uint64_limbs,16,8,4096,41860500,10219.848633,1.565581,7653960963606595584
original_full_nat,16,8,8192,72643208,8867.579102,1.804326,15618025053062729728
original_full_nat,16,9,8192,72666417,8870.412231,1.803749,15618025053062729728
uint64_limbs,16,9,4096,41416459,10111.440186,1.582366,7653960963606595584
word_blocks,16,9,8192,41654375,5084.762573,3.146656,15618025053062729728
original_full_nat,17,1,8192,79830250,9744.903564,1.744502,6245824619593551872
uint64_limbs,17,1,4096,43347250,10582.824707,1.606376,15217244089719302144
word_blocks,17,1,8192,43564041,5317.876099,3.196765,6245824619593551872
word_blocks,17,2,8192,43310917,5286.977173,3.215448,6245824619593551872
uint64_limbs,17,2,4096,42697250,10424.133301,1.630831,15217244089719302144
original_full_nat,17,2,8192,78847833,9624.979614,1.766238,6245824619593551872
original_full_nat,17,3,8192,78280500,9555.725098,1.779038,6245824619593551872
uint64_limbs,17,3,4096,42684083,10420.918701,1.631334,15217244089719302144
word_blocks,17,3,8192,42879375,5234.298706,3.247809,6245824619593551872
word_blocks,17,4,8192,42978958,5246.454834,3.240283,6245824619593551872
uint64_limbs,17,4,4096,42836834,10458.211426,1.625517,15217244089719302144
