version,size_bytes,trial,iterations,elapsed_ns,ns_per_call,mb_per_second,checksum
original_full_nat,0,1,8192,54100375,6604.049683,0.000000,182742447725531136
uint64_limbs,0,1,8192,57112625,6971.755981,0.000000,182742447725531136
word_blocks,0,1,16384,71294458,4351.468384,0.000000,7354680295806836736
word_blocks,0,2,16384,73512709,4486.859680,0.000000,7354680295806836736
uint64_limbs,0,2,8192,59265917,7234.609009,0.000000,182742447725531136
original_full_nat,0,2,8192,56317167,6874.654175,0.000000,182742447725531136
original_full_nat,0,3,8192,54889500,6700.378418,0.000000,182742447725531136
uint64_limbs,0,3,8192,57734667,7047.688843,0.000000,182742447725531136
word_blocks,0,3,16384,71708417,4376.734436,0.000000,7354680295806836736
word_blocks,0,4,16384,71531708,4365.948975,0.000000,7354680295806836736
uint64_limbs,0,4,8192,57840333,7060.587524,0.000000,182742447725531136
original_full_nat,0,4,8192,55476083,6771.982788,0.000000,182742447725531136
original_full_nat,0,5,8192,55543416,6780.202148,0.000000,182742447725531136
uint64_limbs,0,5,8192,58719250,7167.877197,0.000000,182742447725531136
word_blocks,0,5,16384,72675000,4435.729980,0.000000,7354680295806836736
word_blocks,0,6,16384,72331041,4414.736389,0.000000,7354680295806836736
uint64_limbs,0,6,8192,58139542,7097.112061,0.000000,182742447725531136
original_full_nat,0,6,8192,54657500,6672.058105,0.000000,182742447725531136
original_full_nat,0,7,8192,54802417,6689.748169,0.000000,182742447725531136
uint64_limbs,0,7,8192,57839500,7060.485840,0.000000,182742447725531136
word_blocks,0,7,16384,71403666,4358.133911,0.000000,7354680295806836736
word_blocks,0,8,16384,69876208,4264.905273,0.000000,7354680295806836736
uint64_limbs,0,8,8192,57209166,6983.540771,0.000000,182742447725531136
original_full_nat,0,8,8192,54267917,6624.501587,0.000000,182742447725531136
original_full_nat,0,9,8192,54731708,6681.116699,0.000000,182742447725531136
uint64_limbs,0,9,8192,57773917,7052.480103,0.000000,182742447725531136
word_blocks,0,9,16384,71421625,4359.230042,0.000000,7354680295806836736
original_full_nat,15,1,8192,71278833,8701.029419,1.723934,6996954459363725312
uint64_limbs,15,1,8192,81317083,9926.401733,1.511122,6996954459363725312
word_blocks,15,1,8192,58419750,7131.317139,2.103398,6996954459363725312
word_blocks,15,2,8192,58772000,7174.316406,2.090792,6996954459363725312
uint64_limbs,15,2,8192,81695333,9972.574829,1.504125,6996954459363725312
original_full_nat,15,2,8192,69669958,8504.633545,1.763744,6996954459363725312
original_full_nat,15,3,8192,69537291,8488.438843,1.767109,6996954459363725312
uint64_limbs,15,3,8192,79104834,9656.351807,1.553382,6996954459363725312
word_blocks,15,3,8192,56889416,6944.508789,2.159980,6996954459363725312
word_blocks,15,4,8192,56653833,6915.751099,2.168962,6996954459363725312
uint64_limbs,15,4,8192,78893292,9630.528809,1.557547,6996954459363725312
original_full_nat,15,4,8192,69105542,8435.735107,1.778150,6996954459363725312
original_full_nat,15,5,8192,69107584,8435.984375,1.778097,6996954459363725312
uint64_limbs,15,5,8192,78677000,9604.125977,1.561829,6996954459363725312
word_blocks,15,5,8192,57485917,7017.323853,2.137567,6996954459363725312
word_blocks,15,6,8192,58985916,7200.429199,2.083209,6996954459363725312
uint64_limbs,15,6,8192,81042500,9892.883301,1.516241,6996954459363725312
original_full_nat,15,6,8192,71072667,8675.862671,1.728935,6996954459363725312
original_full_nat,15,7,8192,70934042,8658.940674,1.732314,6996954459363725312
uint64_limbs,15,7,8192,81019833,9890.116333,1.516666,6996954459363725312
word_blocks,15,7,8192,58904375,7190.475464,2.086093,6996954459363725312
word_blocks,15,8,8192,58995750,7201.629639,2.082862,6996954459363725312
uint64_limbs,15,8,8192,81587584,9959.421875,1.506112,6996954459363725312
original_full_nat,15,8,8192,70742708,8635.584473,1.736999,6996954459363725312
original_full_nat,15,9,8192,69984625,8543.045044,1.755814,6996954459363725312
uint64_limbs,15,9,8192,79175917,9665.028931,1.551987,6996954459363725312
word_blocks,15,9,8192,57063708,6965.784668,2.153383,6996954459363725312
original_full_nat,16,1,8192,74017042,9035.283447,1.770835,15618025053062729728
uint64_limbs,16,1,4096,42565042,10391.855957,1.539667,7653960963606595584
word_blocks,16,1,8192,44333542,5411.809326,2.956497,15618025053062729728
word_blocks,16,2,8192,39799834,4858.378174,3.293280,15618025053062729728
uint64_limbs,16,2,4096,41112958,10037.343262,1.594047,7653960963606595584
original_full_nat,16,2,8192,72228208,8816.919922,1.814693,15618025053062729728
original_full_nat,16,3,8192,71659208,8747.461914,1.829102,15618025053062729728
uint64_limbs,16,3,4096,40826916,9967.508789,1.605216,7653960963606595584
word_blocks,16,3,8192,40553000,4950.317383,3.232116,15618025053062729728
word_blocks,16,4,8192,41454541,5060.368774,3.161825,15618025053062729728
uint64_limbs,16,4,4096,41008125,10011.749268,1.598122,7653960963606595584
